                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                   HE0435-5304         NV    261.025    -41.375          12.088           3.617
                   HE0435-5304       NiII    261.025    -41.375           6.192           9.811
                   HE0435-5304        SII    261.025    -41.375           1.495           4.765
                   HE0435-5304       SiII    261.025    -41.375          13.926          12.015
                   HE0435-5304       SiIV    261.025    -41.375          -5.637           5.358
                   HE0439-5254       CII*    260.693    -40.901          13.058          10.064
                   HE0439-5254        CIV    260.693    -40.901           8.407          10.664
                   HE0439-5254       FeII    260.693    -40.901          74.606          20.529
                   HE0439-5254         NV    260.693    -40.901         -47.065           9.645
                   HE0439-5254       NiII    260.693    -40.901          20.287          17.442
                   HE0439-5254        SII    260.693    -40.901           3.801           4.765
                   HE0439-5254       SiII    260.693    -40.901          -5.375           9.612
                   HE0439-5254       SiIV    260.693    -40.901         -11.072           6.430
                  HS-0033+4300       CII*    120.026    -19.509         -15.560          10.064
                  HS-0033+4300        CIV    120.026    -19.509         -29.202           7.109
                  HS-0033+4300       FeII    120.026    -19.509         -61.100           3.421
                  HS-0033+4300         NV    120.026    -19.509          11.924           2.411
                  HS-0033+4300       NiII    120.026    -19.509         -26.660           6.541
                  HS-0033+4300        SII    120.026    -19.509         -31.750           8.339
                  HS-0033+4300       SiII    120.026    -19.509          -4.184          14.418
                  HS-0033+4300       SiIV    120.026    -19.509         -27.902           7.501
                   HS1102+3441       CII*    188.563     66.219         -15.210           6.709
                   HS1102+3441        CIV    188.563     66.219         -36.946           9.479
                   HS1102+3441         NV    188.563     66.219         -35.690           8.440
                   HS1102+3441       NiII    188.563     66.219         -29.665           8.721
                   HS1102+3441        SII    188.563     66.219         -40.711           7.147
                   HS1102+3441       SiII    188.563     66.219         -37.227          10.814
                   HS1102+3441       SiIV    188.563     66.219         -38.409           8.573
                   HS2154+2228        CIV     78.426    -24.698          25.392          11.849
                   HS2154+2228       SiII     78.426    -24.698         -22.216          10.814
         ICRF-J122011.8+020342       CII*    284.992     63.840          78.246           6.709
         ICRF-J122011.8+020342        CIV    284.992     63.840         -36.233          13.033
         ICRF-J122011.8+020342       FeII    284.992     63.840         -90.809           2.281
         ICRF-J122011.8+020342         NV    284.992     63.840           0.007          10.851
         ICRF-J122011.8+020342       NiII    284.992     63.840          -9.426           5.451
         ICRF-J122011.8+020342        SII    284.992     63.840          -9.020           5.956
         ICRF-J122011.8+020342       SiII    284.992     63.840         -12.467          12.015
         ICRF-J122011.8+020342       SiIV    284.992     63.840         -11.019          10.716
                        IO-AND       CII*    122.279    -23.181         -14.579           7.827
                        IO-AND        CIV    122.279    -23.181         -16.239           7.109
                        IO-AND         NV    122.279    -23.181         -20.678           7.234
                        IO-AND       NiII    122.279    -23.181         -18.105           7.631
                        IO-AND        SII    122.279    -23.181         -43.727           7.147
                        IO-AND       SiIV    122.279    -23.181         -12.012           5.358
              IRAS-F04250-5718        CIV    266.987    -41.996         -40.557           8.294
              IRAS-F04250-5718         NV    266.987    -41.996          22.458           1.206
              IRAS-F04250-5718       NiII    266.987    -41.996           2.556           1.090
              IRAS-F04250-5718        SII    266.987    -41.996           4.602           2.382
              IRAS-F04250-5718       SiIV    266.987    -41.996         -43.491           7.501
              IRAS-F22456-5125        CIV    338.512    -56.630           8.828           7.109
              IRAS-F22456-5125         NV    338.512    -56.630           3.765           6.028
              IRAS-F22456-5125       NiII    338.512    -56.630           4.309           5.451
              IRAS-F22456-5125        SII    338.512    -56.630          -0.612           3.574
              IRAS-F22456-5125       SiII    338.512    -56.630         -17.153           6.008
              IRAS-F22456-5125       SiIV    338.512    -56.630           3.455           5.358
              IRAS-L06229-6434       CII*    274.312    -27.320          25.551          16.773
              IRAS-L06229-6434        CIV    274.312    -27.320          -2.130          13.033
              IRAS-L06229-6434         NV    274.312    -27.320         -15.612           1.206
              IRAS-L06229-6434       NiII    274.312    -27.320           1.977           2.180
              IRAS-L06229-6434        SII    274.312    -27.320          -2.035           4.765
              IRAS-L06229-6434       SiIV    274.312    -27.320           6.314           7.501
               IRASF00040+4325       CII*    114.416    -18.421         -27.291           7.827
               IRASF00040+4325        CIV    114.416    -18.421          34.098           7.109
               IRASF00040+4325       FeII    114.416    -18.421        -102.751          12.545
               IRASF00040+4325         NV    114.416    -18.421         -17.735           7.234
               IRASF00040+4325       NiII    114.416    -18.421         -10.801           5.451
               IRASF00040+4325        SII    114.416    -18.421          -5.046           7.147
               IRASF00040+4325       SiIV    114.416    -18.421         -21.928           7.501
                          IZW1       CII*    123.749    -50.175         -13.127           3.355
                          IZW1        CIV    123.749    -50.175          -6.093           5.924
                          IZW1       NiII    123.749    -50.175         -25.542           5.451
                          IZW1        SII    123.749    -50.175         -19.203           3.574
                          IZW1       SiIV    123.749    -50.175          -4.410           7.501
                        KAZ238       CII*    110.965    -28.352         -13.835           6.709
                        KAZ238        CIV    110.965    -28.352         -33.334          11.849
                        KAZ238         NV    110.965    -28.352         -44.135           6.028
                        KAZ238       NiII    110.965    -28.352         -78.378           8.721
                        KAZ238        SII    110.965    -28.352          -9.701          13.104
                        KAZ238       SiIV    110.965    -28.352         -34.797           6.430
                LBQS-1435-0134       CII*    348.718     51.375           2.131           6.709
                LBQS-1435-0134        CIV    348.718     51.375         -60.541          15.403
                LBQS-1435-0134       FeII    348.718     51.375         -46.585           3.421
                LBQS-1435-0134         NV    348.718     51.375         -30.911           9.645
                LBQS-1435-0134       NiII    348.718     51.375          -4.917           5.451
                LBQS-1435-0134        SII    348.718     51.375           1.040           4.765
                LBQS-1435-0134       SiII    348.718     51.375         -58.869          12.015
                LBQS-1435-0134       SiIV    348.718     51.375          -9.652           7.501
                       MARK509       CII*     35.971    -29.855           0.592           6.709
                       MARK509        CIV     35.971    -29.855          10.062           7.109
                       MARK509       FeII     35.971    -29.855          -0.270           5.702
                       MARK509         NV     35.971    -29.855          54.181          14.468
                       MARK509       NiII     35.971    -29.855          -5.311           6.541
                       MARK509        SII     35.971    -29.855          -0.646           4.765
                       MARK509       SiII     35.971    -29.855         -17.320          14.418
                       MARK509       SiIV     35.971    -29.855           8.191           9.645
                    MR2251-178       CII*     46.197    -61.326           5.894           3.355
                    MR2251-178        CIV     46.197    -61.326          18.601           8.294
                    MR2251-178         NV     46.197    -61.326          25.657           7.234
                    MR2251-178       NiII     46.197    -61.326           6.167           3.270
                    MR2251-178        SII     46.197    -61.326          16.327           4.765
                    MR2251-178       SiII     46.197    -61.326          -6.128           8.411
                    MR2251-178       SiIV     46.197    -61.326          17.175           6.430
                      MRK-1044       CII*    179.695    -60.477         -18.968           3.355
