                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                      MRK-1044       SiIV    179.695    -60.477         -45.450           8.250
                       MRK-335       CII*    108.763    -41.425         -10.200           3.800
                       MRK-335        CIV    108.763    -41.425          -8.450           8.150
                       MRK-335         NV    108.763    -41.425          -9.650          11.450
                       MRK-335       NiII    108.763    -41.425         -11.700           3.700
                       MRK-335        SII    108.763    -41.425          -3.450           4.450
                       MRK-335       SiII    108.763    -41.425         -22.100          11.300
                       MRK-335       SiIV    108.763    -41.425           2.250           7.850
                        MRK106       CII*    161.139     42.880          -3.650           3.750
                        MRK106        CIV    161.139     42.880          -4.700           8.900
                        MRK106         NV    161.139     42.880         -12.600           9.600
                        MRK106       NiII    161.139     42.880          -4.750           4.450
                        MRK106        SII    161.139     42.880          -2.850           3.950
                        MRK106       SiII    161.139     42.880          -5.950           8.050
                        MRK106       SiIV    161.139     42.880         -10.700           8.700
                       MRK1148       CII*    123.093    -45.439          -8.250           3.950
                       MRK1148        CIV    123.093    -45.439         -29.550           7.550
                       MRK1148       FeII    123.093    -45.439         -79.650           9.650
                       MRK1148       NiII    123.093    -45.439         -40.350           3.750
                       MRK1148        SII    123.093    -45.439          -6.350           4.250
                       MRK1148       SiII    123.093    -45.439          -4.900           8.600
                       MRK1148       SiIV    123.093    -45.439         -10.400           8.100
                       MRK1179       CII*    148.895    -29.745         107.600           9.400
                       MRK1179        CIV    148.895    -29.745          10.600           9.900
                       MRK1179       FeII    148.895    -29.745         -21.850           4.150
                       MRK1179         NV    148.895    -29.745         -13.850           3.250
                       MRK1179        SII    148.895    -29.745          -8.500           5.500
                       MRK1179       SiIV    148.895    -29.745           0.150           4.550
                       MRK1513       CII*     63.670    -29.070          -0.700           4.200
                       MRK1513        CIV     63.670    -29.070           7.450           8.050
                       MRK1513         NV     63.670    -29.070         -13.500           8.400
                       MRK1513       NiII     63.670    -29.070           0.300           4.500
                       MRK1513        SII     63.670    -29.070          -3.650           5.450
                       MRK1513       SiII     63.670    -29.070         -12.250           8.550
                       MRK1513       SiIV     63.670    -29.070           7.200           7.600
                        MRK290       CII*     91.489     47.954         -19.650           4.150
                        MRK290        CIV     91.489     47.954         -40.650          11.550
                        MRK290         NV     91.489     47.954         -26.000           7.700
                        MRK290       NiII     91.489     47.954         -19.300           6.300
                        MRK290        SII     91.489     47.954         -16.650           3.950
                        MRK290       SiII     91.489     47.954         -21.650           7.750
                        MRK290       SiIV     91.489     47.954         -31.450           3.650
                        MRK304        CIV     75.989    -34.222           3.100          12.900
                        MRK304       SiII     75.989    -34.222         -46.450          11.050
                        MRK817       CII*    100.300     53.478         -16.250           6.450
                        MRK817        CIV    100.300     53.478         -57.800          13.900
                        MRK817         NV    100.300     53.478          77.000           9.000
                        MRK817       NiII    100.300     53.478         -23.300           7.800
                        MRK817        SII    100.300     53.478          -8.700           3.900
                        MRK817       SiII    100.300     53.478         -25.000           8.200
                        MRK817       SiIV    100.300     53.478          -6.950           2.650
                        MRK841       CII*     11.209     54.632         -14.750           8.750
                        MRK841        CIV     11.209     54.632         -37.000          11.000
                        MRK841         NV     11.209     54.632         -59.700          11.700
                        MRK841       NiII     11.209     54.632         -20.000           8.800
                        MRK841        SII     11.209     54.632         -17.250           5.050
                        MRK841       SiIV     11.209     54.632         -41.600           8.600
                        MRK876       CII*     98.269     40.376         -22.950           5.750
                        MRK876        CIV     98.269     40.376           1.450          11.950
                        MRK876       FeII     98.269     40.376           0.700           7.000
                        MRK876         NV     98.269     40.376          -7.450          13.650
                        MRK876       NiII     98.269     40.376         -25.450           5.150
                        MRK876        SII     98.269     40.376         -16.600           5.900
                        MRK876       SiII     98.269     40.376         -26.650          10.450
                        MRK876       SiIV     98.269     40.376          -8.450           9.950
                      NGC-3516       CII*    133.236     42.403           1.100           7.100
                      NGC-3516        CIV    133.236     42.403         -41.150           8.550
                      NGC-3516       FeII    133.236     42.403         -92.950           1.950
                      NGC-3516         NV    133.236     42.403         -20.300          13.700
                      NGC-3516       NiII    133.236     42.403         -52.500           7.500
                      NGC-3516        SII    133.236     42.403          -4.250           6.250
                      NGC-3516       SiII    133.236     42.403         -61.500          12.000
                      NGC-3516       SiIV    133.236     42.403         -49.000           6.100
                      NGC-4051       CII*    148.883     70.085         -24.450           6.750
                      NGC-4051       FeII    148.883     70.085          -4.950           7.950
                      NGC-4051       NiII    148.883     70.085         -20.650           8.950
                      NGC-4051        SII    148.883     70.085         -11.600           6.000
                      NGC-4051       SiII    148.883     70.085         -30.700           9.100
                      NGC-4051       SiIV    148.883     70.085         -24.200          10.000
                      NGC-5548       CII*     31.961     70.496          -6.750           4.250
                      NGC-5548        CIV     31.961     70.496         -64.800          10.300
                      NGC-5548       FeII     31.961     70.496         -14.100           8.400
                      NGC-5548         NV     31.961     70.496         -42.450           6.750
                      NGC-5548       NiII     31.961     70.496         -18.250           4.950
                      NGC-5548        SII     31.961     70.496          -9.450           3.750
                      NGC-5548       SiII     31.961     70.496         -14.650           9.350
                      NGC-5548       SiIV     31.961     70.496         -52.250           8.350
                      NGC-7469       CII*     83.099    -45.467          -1.800           4.900
                      NGC-7469        CIV     83.099    -45.467          31.450          11.350
                      NGC-7469         NV     83.099    -45.467         -16.000           7.200
                      NGC-7469       NiII     83.099    -45.467          -2.700           5.000
                      NGC-7469        SII     83.099    -45.467          -6.350           5.350
                      NGC-7469       SiII     83.099    -45.467          -7.000           6.800
                      NGC-7469       SiIV     83.099    -45.467         -10.200           9.300
                       NGC-985       CII*    180.837    -59.490         -12.050           4.250
                       NGC-985        CIV    180.837    -59.490         -36.450           8.650
                       NGC-985         NV    180.837    -59.490         -20.750           8.450
                       NGC-985       NiII    180.837    -59.490         -13.850           2.850
                       NGC-985        SII    180.837    -59.490         -12.350           3.250
                       NGC-985       SiII    180.837    -59.490         -23.500           7.100
                       NGC-985       SiIV    180.837    -59.490         -37.700           6.200
                       NGC7714        CIV     88.216    -55.564          21.750          10.450
                       NGC7714       FeII     88.216    -55.564          77.000           6.400
                       NGC7714         NV     88.216    -55.564         -90.050          11.350
                       NGC7714       SiIV     88.216    -55.564          34.500          10.900
                        PDS456       CII*     10.392     11.164           5.350           9.350
                        PDS456        CIV     10.392     11.164          -3.200          14.600
                        PDS456       FeII     10.392     11.164         -50.200          12.800
                        PDS456         NV     10.392     11.164         -14.500          16.700
                        PDS456       NiII     10.392     11.164           9.400           5.800
                        PDS456       SiII     10.392     11.164          -0.700          13.700
                        PDS456       SiIV     10.392     11.164          -3.200          11.100
                   PG-1407+265       CII*     34.669     72.589         -16.650           7.150
                   PG-1407+265        CIV     34.669     72.589         -42.900           8.300
                   PG-1407+265       FeII     34.669     72.589         -73.150           2.150
                   PG-1407+265         NV     34.669     72.589         -45.650           7.150
                   PG-1407+265       NiII     34.669     72.589         -43.350           6.450
                   PG-1407+265        SII     34.669     72.589          11.200          10.500
                   PG-1407+265       SiII     34.669     72.589         -47.500           9.700
                   PG-1407+265       SiIV     34.669     72.589         -43.550           6.250
                   PG-1522+101       CII*     14.892     50.122         -13.250           5.050
                   PG-1522+101        CIV     14.892     50.122         -41.500          17.300
