                           QSO        ion       Glon       Glat    maxvel_v_LSR            logN
                      NGC-5548        CIV     31.961     70.496        -127.991          12.858
                      NGC-5548       FeII     31.961     70.496         -65.035          14.484
                      NGC-5548         NV     31.961     70.496         -38.053          13.481
                      NGC-5548       NiII     31.961     70.496         -62.037          13.232
                      NGC-5548        SII     31.961     70.496         -68.033          14.761
                      NGC-5548       SiII     31.961     70.496         -38.053          15.349
                      NGC-5548       SiIV     31.961     70.496         -62.037          13.800
                      NGC-7469       CII*     83.099    -45.467          53.980          12.332
                      NGC-7469        CIV     83.099    -45.467          38.991          13.794
                      NGC-7469         NV     83.099    -45.467         -23.966          12.973
                      NGC-7469       NiII     83.099    -45.467         -14.972          13.705
                      NGC-7469        SII     83.099    -45.467          -8.976          15.214
                      NGC-7469       SiII     83.099    -45.467        -101.912          12.038
                      NGC-7469       SiIV     83.099    -45.467          44.986          12.906
                       NGC-985       CII*    180.837    -59.490         -59.962          12.911
                       NGC-985        CIV    180.837    -59.490         -95.937          12.702
                       NGC-985         NV    180.837    -59.490         -35.978          13.289
                       NGC-985       NiII    180.837    -59.490         -17.991          13.738
                       NGC-985        SII    180.837    -59.490         -62.959          13.940
                       NGC-985       SiII    180.837    -59.490        -104.930          12.249
                       NGC-985       SiIV    180.837    -59.490        -101.933          12.429
                       NGC7714        CIV     88.216    -55.564          83.399          13.408
                       NGC7714       FeII     88.216    -55.564        -108.468           8.210
                       NGC7714         NV     88.216    -55.564         -84.484          13.407
                       NGC7714       SiIV     88.216    -55.564         -51.507          12.716
                        PDS456       CII*     10.392     11.164           8.124          14.795
                        PDS456        CIV     10.392     11.164        -108.795          13.509
                        PDS456       FeII     10.392     11.164          71.081          13.310
                        PDS456         NV     10.392     11.164         -27.851          14.307
                        PDS456       NiII     10.392     11.164          11.122          14.368
                        PDS456        SII     10.392     11.164           8.124          16.018
                        PDS456       SiII     10.392     11.164          83.072          12.557
                        PDS456       SiIV     10.392     11.164         -96.803          12.689
                   PG-1407+265       CII*     34.669     72.589         -68.425          13.228
                   PG-1407+265        CIV     34.669     72.589         -95.406          13.000
                   PG-1407+265       FeII     34.669     72.589         -80.416          11.747
                   PG-1407+265         NV     34.669     72.589         -35.448          13.680
                   PG-1407+265       NiII     34.669     72.589         -38.445          13.853
                   PG-1407+265        SII     34.669     72.589         -59.431          14.968
                   PG-1407+265       SiII     34.669     72.589         -32.450          14.706
                   PG-1407+265       SiIV     34.669     72.589         -41.443          13.725
                   PG-1522+101       CII*     14.892     50.122          -3.161          14.201
                   PG-1522+101        CIV     14.892     50.122        -129.074          13.830
                   PG-1522+101       FeII     14.892     50.122          35.812          14.161
                   PG-1522+101         NV     14.892     50.122         -27.144          14.069
                   PG-1522+101        SII     14.892     50.122         146.735          14.603
                   PG-1522+101       SiII     14.892     50.122        -111.086          12.766
                   PG-1522+101       SiIV     14.892     50.122         -12.155          13.715
                   PG-1630+377       CII*     60.342     42.939         -11.242          13.873
                   PG-1630+377        CIV     60.342     42.939        -146.149          13.236
                   PG-1630+377       FeII     60.342     42.939         -98.182          12.368
                   PG-1630+377       NiII     60.342     42.939           0.749          13.631
                   PG-1630+377        SII     60.342     42.939         -98.182          13.944
                   PG-1630+377       SiII     60.342     42.939        -104.178          13.718
                   PG-1630+377       SiIV     60.342     42.939        -101.180          12.994
                    PG0003+158       CII*    107.318    -45.326          -3.368          14.123
