                           QSO        ion       Glon       Glat    maxcol_v_LSR      total_logN
                FBQSJ1010+3003        CIV    198.427     54.625          36.839          14.223
                FBQSJ1010+3003         NV    198.427     54.625          30.843          13.663
                FBQSJ1010+3003       NiII    198.427     54.625         -35.111          16.379
                FBQSJ1010+3003       SiIV    198.427     54.625         -32.113          13.697
                     H1821+643        CIV     94.002     27.417          25.485          14.707
                     H1821+643       NiII     94.002     27.417         -79.443          13.776
                     H1821+643       SiII     94.002     27.417         -19.484          15.148
           HB89-0107-025-NED05       CII*    134.029    -64.779           6.641          14.150
           HB89-0107-025-NED05        CIV    134.029    -64.779         -68.307          14.199
           HB89-0107-025-NED05         NV    134.029    -64.779         -44.323          13.840
           HB89-0107-025-NED05       NiII    134.029    -64.779         -29.334          13.658
           HB89-0107-025-NED05        SII    134.029    -64.779           9.639          15.220
           HB89-0107-025-NED05       SiII    134.029    -64.779         -23.338          14.343
           HB89-0107-025-NED05       SiIV    134.029    -64.779         -29.334          13.508
                 HB89-0232-042       CII*    174.463    -56.156         -20.292          13.949
                 HB89-0232-042        CIV    174.463    -56.156         -20.292          14.017
                 HB89-0232-042       NiII    174.463    -56.156         -11.298          13.741
                 HB89-0232-042        SII    174.463    -56.156           3.692          15.213
                 HB89-0232-042       SiII    174.463    -56.156         -26.288          16.141
                 HB89-0232-042       SiIV    174.463    -56.156         -26.288          13.353
                   HE0056-3622       CII*    293.719    -80.898         -27.194          13.792
                   HE0056-3622        CIV    293.719    -80.898          80.731          14.425
                   HE0056-3622         NV    293.719    -80.898         -39.186          13.583
                   HE0056-3622       NiII    293.719    -80.898         -18.200          13.508
                   HE0056-3622        SII    293.719    -80.898          -6.209          15.286
                   HE0056-3622       SiIV    293.719    -80.898         -30.192          13.676
                   HE0153-4520       CII*    271.796    -67.975          -0.803          13.917
                   HE0153-4520        CIV    271.796    -67.975          -3.801          14.079
                   HE0153-4520       FeII    271.796    -67.975          -6.799          15.008
                   HE0153-4520         NV    271.796    -67.975          17.184          13.260
                   HE0153-4520       NiII    271.796    -67.975         -12.795          13.606
                   HE0153-4520        SII    271.796    -67.975          -0.803          15.301
                   HE0153-4520       SiII    271.796    -67.975          -6.799          14.540
                   HE0153-4520       SiIV    271.796    -67.975          -6.799          13.468
                   HE0226-4110       CII*    253.941    -65.775          -2.271          13.919
                   HE0226-4110        CIV    253.941    -65.775          21.712          14.083
                   HE0226-4110       NiII    253.941    -65.775           0.726          16.060
                   HE0226-4110        SII    253.941    -65.775           0.726          15.225
                   HE0226-4110       SiII    253.941    -65.775           0.726          14.048
                   HE0226-4110       SiIV    253.941    -65.775          -5.269          13.462
                   HE0238-1904       CII*    200.480    -63.634         -10.589          14.251
                   HE0238-1904        CIV    200.480    -63.634          19.390          14.663
                   HE0238-1904         NV    200.480    -63.634         -10.589          13.059
                   HE0238-1904       NiII    200.480    -63.634          -7.591          13.505
                   HE0238-1904        SII    200.480    -63.634          -7.591          15.772
                   HE0238-1904       SiIV    200.480    -63.634         -19.583          13.520
                   HE0435-5304       CII*    261.025    -41.375          42.287          14.857
                   HE0435-5304        CIV    261.025    -41.375          -8.677          14.361
                   HE0435-5304         NV    261.025    -41.375          15.306          13.276
                   HE0435-5304       NiII    261.025    -41.375         -11.675          14.406
                   HE0435-5304        SII    261.025    -41.375           6.312          15.097
                   HE0435-5304       SiII    261.025    -41.375           0.316          14.946
                   HE0435-5304       SiIV    261.025    -41.375         -11.675          13.461
                   HE0439-5254       CII*    260.693    -40.901         -44.729          15.741
                   HE0439-5254        CIV    260.693    -40.901         -17.748          14.321
                   HE0439-5254       FeII    260.693    -40.901         111.163          14.997
                   HE0439-5254         NV    260.693    -40.901         -32.737          13.744
                   HE0439-5254       NiII    260.693    -40.901          24.223          14.072
                   HE0439-5254        SII    260.693    -40.901           9.234          14.980
                   HE0439-5254       SiII    260.693    -40.901          -8.754          14.880
                   HE0439-5254       SiIV    260.693    -40.901          33.217          13.835
                  HS-0033+4300       CII*    120.026    -19.509         -33.901          14.527
                  HS-0033+4300        CIV    120.026    -19.509         -12.916          13.905
                  HS-0033+4300       FeII    120.026    -19.509         -21.910          14.371
                  HS-0033+4300         NV    120.026    -19.509          20.061          13.665
                  HS-0033+4300       NiII    120.026    -19.509          -6.920          14.010
                  HS-0033+4300        SII    120.026    -19.509         -81.868          16.393
                  HS-0033+4300       SiII    120.026    -19.509         -12.916          14.875
                  HS-0033+4300       SiIV    120.026    -19.509         -24.908          13.611
                   HS1102+3441       CII*    188.563     66.219         -33.908          14.156
                   HS1102+3441        CIV    188.563     66.219         -51.896          14.102
                   HS1102+3441         NV    188.563     66.219         -27.912          13.549
                   HS1102+3441       NiII    188.563     66.219         -24.915          14.358
                   HS1102+3441        SII    188.563     66.219         -36.906          15.443
                   HS1102+3441       SiII    188.563     66.219         -51.896          15.098
                   HS1102+3441       SiIV    188.563     66.219         -39.904          13.738
                   HS2154+2228        CIV     78.426    -24.698          33.257          14.459
                   HS2154+2228       NiII     78.426    -24.698         -23.703          14.400
                   HS2154+2228       SiII     78.426    -24.698          -8.714          15.594
